,State,District,State-District,Center,"House Science, Space and Technology Committee",House Space and Aeronautics Subcommittee,House CJS,HouseCommitties,Award,Zip,Center_Abbreviation,Center_Name,NatLog_Award,Log10_Award
0,AK,0,AK-0,0.0,0.0,0.0,0.0,0.0,117819.668,0.0,,,11.676910497213958,5.071217794618179
1,AL,1,AL-1,0.0,0.0,0.0,0.0,0.0,145.59,0.0,,,4.9807944520852345,2.163131546034948
2,AL,2,AL-2,0.0,0.0,0.0,1.0,1.0,18894.761999999995,0.0,,,9.846640019779413,4.276341425877925
3,AL,3,AL-3,0.0,0.0,0.0,0.0,0.0,11544.949,0.0,,,9.354003304282086,4.062392018754495
4,AL,4,AL-4,0.0,0.0,0.0,1.0,1.0,929.538,0.0,,,6.834687688520573,2.968267148656576
5,AL,6,AL-6,0.0,0.0,0.0,0.0,0.0,91.81,0.0,,,4.519721224155608,1.962889987391791
6,AL,5,AL-5,1.0,1.0,1.0,0.0,2.0,10824219.741999993,35824.0,MSFC,Marshall Space Flight Center,16.197296749994024,7.0343966002718785
7,AL,7,AL-7,0.0,0.0,0.0,0.0,0.0,9760.392000000002,0.0,,,9.186087842535015,3.9894672602915047
8,AR,1,AR-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
9,AR,2,AR-2,0.0,0.0,0.0,0.0,0.0,7246.241,0.0,,,8.888238130631436,3.860112773975307
10,AR,3,AR-3,0.0,0.0,0.0,0.0,0.0,5272.901,0.0,,,8.570335964463265,3.7220496174233797
11,AR,4,AR-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
12,AZ,1,AZ-1,0.0,0.0,0.0,0.0,0.0,25031.093999999997,0.0,,,10.127874091021612,4.398479831141598
13,AZ,2,AZ-2,0.0,0.0,0.0,0.0,0.0,50967.41299999998,0.0,,,10.838941746699708,4.707292590262478
14,AZ,3,AZ-3,0.0,0.0,0.0,0.0,0.0,708088.303,0.0,,,13.470324086650159,5.850087420280624
15,AZ,4,AZ-4,0.0,0.0,0.0,0.0,0.0,223.763,0.0,,,5.410587456025852,2.3497882760069806
16,AZ,5,AZ-5,0.0,1.0,0.0,0.0,1.0,499559.43700000003,0.0,,,13.121481862984634,5.698587167487827
17,AZ,6,AZ-6,0.0,0.0,0.0,0.0,0.0,3198.048,0.0,,,8.070295902662123,3.5048849778525826
18,AZ,7,AZ-7,0.0,0.0,0.0,0.0,0.0,4518.689,0.0,,,8.415977186507522,3.655012451923871
19,AZ,8,AZ-8,0.0,0.0,0.0,0.0,0.0,8697.151,0.0,,,9.070750779747884,3.939377010364125
20,AZ,9,AZ-9,0.0,0.0,0.0,0.0,0.0,239465.66699999996,0.0,,,12.386165332738738,5.379243255949789
21,CA,1,CA-1,0.0,0.0,0.0,0.0,0.0,3851.691,0.0,,,8.256267551631838,3.585651438790579
22,CA,2,CA-2,0.0,0.0,0.0,0.0,0.0,23857.057000000004,0.0,,,10.079835343534707,4.377616868190493
23,CA,3,CA-3,0.0,0.0,0.0,0.0,0.0,34788.972,0.0,,,10.457055718988519,4.5414415957115555
24,CA,4,CA-4,0.0,0.0,0.0,0.0,0.0,4000.453,0.0,,,8.294162883689731,3.6021091723932126
25,CA,5,CA-5,0.0,0.0,0.0,0.0,0.0,147874.94000000006,0.0,,,11.904122195532508,5.169894581421791
26,CA,6,CA-6,0.0,0.0,0.0,0.0,0.0,340.7680000000001,0.0,,,5.831201893832974,2.532458805355452
27,CA,7,CA-7,0.0,1.0,1.0,0.0,2.0,2309.704,0.0,,,7.744874656777259,3.3635563264707047
28,CA,8,CA-8,0.0,0.0,0.0,0.0,0.0,929.157,0.0,,,6.834277723458703,2.968089103092433
29,CA,9,CA-9,0.0,1.0,0.0,0.0,1.0,172.55900000000003,0.0,,,5.150739206978343,2.2369376153134253
30,CA,10,CA-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
31,CA,11,CA-11,0.0,0.0,0.0,0.0,0.0,319.6450000000001,0.0,,,5.767211004981841,2.504667915435321
32,CA,12,CA-12,0.0,0.0,0.0,0.0,0.0,15760.639999999998,0.0,,,9.665270971724397,4.197573849119586
33,CA,13,CA-13,0.0,0.0,0.0,0.0,0.0,523201.84800000006,0.0,,,13.16772261122898,5.718669269289424
34,CA,14,CA-14,0.0,0.0,0.0,0.0,0.0,11036.241000000002,0.0,,,9.308939772721066,4.04282117566247
35,CA,15,CA-15,0.0,0.0,0.0,0.0,0.0,4844.817000000001,0.0,,,8.485664752713696,3.68527737738448
36,CA,16,CA-16,0.0,0.0,0.0,0.0,0.0,5378.509,0.0,,,8.590166477199656,3.7306618996781062
37,CA,17,CA-17,0.0,0.0,0.0,0.0,0.0,188782.285,0.0,,,12.148349698842127,5.275961238438167
38,CA,18,CA-18,1.0,0.0,0.0,0.0,0.0,5138715.742999999,94035.0,ARC,Ames Research Center,15.452313750764803,6.7108545945948945
39,CA,19,CA-19,0.0,1.0,1.0,0.0,2.0,120044.352,0.0,,,11.695616553478928,5.079341731632227
40,CA,20,CA-20,0.0,0.0,0.0,0.0,0.0,33076.559000000016,0.0,,,10.406580123170887,4.519520322977179
41,CA,21,CA-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
42,CA,22,CA-22,0.0,0.0,0.0,0.0,0.0,325.0,0.0,,,5.783825182329737,2.5118833609788744
43,CA,23,CA-23,1.0,0.0,0.0,0.0,0.0,478214.2050000001,93524.0,AFRC,Armstrong Flight Research Center,13.077814038709464,5.6796224723684
44,CA,24,CA-24,0.0,0.0,0.0,0.0,0.0,91257.1,0.0,,,11.421436076637013,4.960266663494181
45,CA,25,CA-25,0.0,0.0,0.0,0.0,0.0,313939.87200000003,0.0,,,12.656956756107894,5.496846476865741
46,CA,26,CA-26,0.0,0.0,0.0,0.0,0.0,70880.03400000003,0.0,,,11.168744064962821,4.850523917203047
47,CA,27,CA-27,1.0,0.0,0.0,0.0,0.0,27603567.45500003,91109.0,NMO,NASA Mgmt Office at JPL,17.133455577950535,7.440965213438408
48,CA,28,CA-28,0.0,0.0,0.0,0.0,0.0,107.10799999999999,0.0,,,4.6738376712093395,2.0298219099177612
49,CA,29,CA-29,0.0,0.0,0.0,0.0,0.0,14768.275999999998,0.0,,,9.600236645625417,4.169329800160503
50,CA,30,CA-30,0.0,1.0,0.0,0.0,1.0,3817152.810999999,0.0,,,15.155015365246161,6.5817395462854025
51,CA,31,CA-31,0.0,0.0,0.0,0.0,0.0,8800.702000000001,0.0,,,9.082586770011895,3.9445173156236457
52,CA,32,CA-32,0.0,0.0,0.0,0.0,0.0,734485.709,0.0,,,13.50692581763347,5.865983350074783
53,CA,33,CA-33,0.0,0.0,0.0,0.0,0.0,8202494.595999997,0.0,,,15.919948884993646,6.913945952934568
54,CA,34,CA-34,0.0,0.0,0.0,0.0,0.0,5991.2559999999985,0.0,,,8.698056351933802,3.7775178769283793
55,CA,35,CA-35,0.0,0.0,0.0,0.0,0.0,186.34900000000005,0.0,,,5.227621259664558,2.270327066552444
56,CA,36,CA-36,0.0,0.0,0.0,0.0,0.0,177.195,0.0,,,5.177250821068593,2.24845146301917
57,CA,37,CA-37,0.0,0.0,0.0,0.0,0.0,67483.99199999997,0.0,,,11.119645693179239,4.829200765267004
58,CA,38,CA-38,0.0,0.0,0.0,0.0,0.0,65051.009000000005,0.0,,,11.082926994965627,4.813254037250161
59,CA,39,CA-39,0.0,0.0,0.0,0.0,0.0,553.924,0.0,,,6.3170274932211585,2.7434501823370807
60,CA,40,CA-40,0.0,0.0,0.0,0.0,0.0,1659.0720000000001,0.0,,,7.414013688887044,3.2198652338388154
61,CA,41,CA-41,0.0,0.0,0.0,0.0,0.0,15203.393999999998,0.0,,,9.629273971382668,4.181940550506104
62,CA,42,CA-42,0.0,0.0,0.0,0.0,0.0,3588.755,0.0,,,8.185560624677075,3.554943810581789
63,CA,43,CA-43,0.0,0.0,0.0,0.0,0.0,622309.113,0.0,,,13.341192214512436,5.794006160773375
64,CA,44,CA-44,0.0,0.0,0.0,0.0,0.0,85.73600000000002,0.0,,,4.451272807410696,1.9331632177044615
65,CA,45,CA-45,0.0,0.0,0.0,0.0,0.0,70657.43099999997,0.0,,,11.165598563048686,4.849157843078922
66,CA,46,CA-46,0.0,0.0,0.0,0.0,0.0,9549.141999999994,0.0,,,9.16420658650672,3.979964351541304
67,CA,47,CA-47,0.0,0.0,0.0,0.0,0.0,17485.552,0.0,,,9.769130218916228,4.2426793470696245
68,CA,48,CA-48,0.0,0.0,0.0,0.0,0.0,27212.24500000001,0.0,,,10.211422334805283,4.434764372389554
69,CA,49,CA-49,0.0,0.0,0.0,0.0,0.0,78846.35600000003,0.0,,,11.275256376992262,4.89678162657219
70,CA,50,CA-50,0.0,0.0,0.0,0.0,0.0,6070.193000000001,0.0,,,8.71114567926471,3.783202499560018
71,CA,51,CA-51,0.0,0.0,0.0,0.0,0.0,28.428,0.0,,,3.3473745749646486,1.45374630677039
72,CA,52,CA-52,0.0,0.0,0.0,0.0,0.0,227051.97900000005,0.0,,,12.332934252629931,5.356125291592784
73,CA,53,CA-53,0.0,0.0,0.0,0.0,0.0,6961.377999999999,0.0,,,8.848132722237075,3.8426952164151595
74,CO,1,CO-1,0.0,0.0,0.0,0.0,0.0,6300.7869999999975,0.0,,,8.748429825212611,3.799394798407667
75,CO,2,CO-2,0.0,0.0,0.0,0.0,0.0,19434002.197000053,0.0,,,16.78253478043081,7.288562247490504
76,CO,3,CO-3,0.0,0.0,0.0,0.0,0.0,3830.2989999999986,0.0,,,8.25069814701267,3.5832326770969876
77,CO,4,CO-4,0.0,0.0,0.0,0.0,0.0,17021.100000000002,0.0,,,9.742209029886185,4.230987623227603
78,CO,5,CO-5,0.0,0.0,0.0,0.0,0.0,6037.733000000002,0.0,,,8.705783889348677,3.78087390378636
79,CO,6,CO-6,0.0,0.0,0.0,0.0,0.0,21798.63,0.0,,,9.989602402765714,4.3384291999286155
80,CO,7,CO-7,0.0,1.0,1.0,0.0,2.0,21386.615,0.0,,,9.970520538033957,4.330142051371189
81,CT,1,CT-1,0.0,0.0,0.0,0.0,0.0,84366.40800000001,0.0,,,11.34292459187858,4.926169558897562
82,CT,2,CT-2,0.0,0.0,0.0,0.0,0.0,8127.910999999999,0.0,,,9.003059219955164,3.9099789394747226
83,CT,3,CT-3,0.0,0.0,0.0,0.0,0.0,28682.35199999999,0.0,,,10.264037299719254,4.457614761317226
84,CT,4,CT-4,0.0,0.0,0.0,0.0,0.0,4999.759000000001,0.0,,,8.51714499025458,3.69894907083749
85,CT,5,CT-5,0.0,0.0,0.0,0.0,0.0,12655.183,0.0,,,9.445822133562146,4.10226842964564
86,DE,0,DE-0,0.0,0.0,0.0,0.0,0.0,43526.43700000001,0.0,,,10.68112377959972,4.638753118005763
87,FL,1,FL-1,0.0,0.0,0.0,0.0,0.0,17954.802,0.0,,,9.795612879030458,4.254180620223353
88,FL,2,FL-2,0.0,0.0,0.0,0.0,0.0,107185.429,0.0,,,11.58231559487294,5.030135750515297
89,FL,3,FL-3,0.0,0.0,0.0,0.0,0.0,33476.599999999984,0.0,,,10.41860196628047,4.524741343101978
90,FL,4,FL-4,0.0,0.0,0.0,0.0,0.0,10657.861,0.0,,,9.274053020925182,4.027670051865989
91,FL,5,FL-5,0.0,0.0,0.0,0.0,0.0,593.7849999999999,0.0,,,6.386517300979944,2.773629222395239
92,FL,6,FL-6,0.0,1.0,1.0,0.0,2.0,6213.130999999999,0.0,,,8.73442023466356,3.7933105105384897
93,FL,7,FL-7,0.0,0.0,0.0,0.0,0.0,49840.50000000001,0.0,,,10.816583185513743,4.697582390516116
94,FL,8,FL-8,1.0,1.0,1.0,0.0,2.0,7691418.025999999,32815.0,KSC,Kennedy Space Flight Center,15.855615723182085,6.886006415756418
95,FL,9,FL-9,0.0,0.0,0.0,0.0,0.0,253.40200000000002,0.0,,,5.5349771605157185,2.4038100382725056
96,FL,10,FL-10,0.0,0.0,0.0,0.0,0.0,3086.373,0.0,,,8.034751894057212,3.4894484110507484
97,FL,11,FL-11,0.0,0.0,0.0,0.0,0.0,27.997,0.0,,,3.3320973615778553,1.4471114972976469
98,FL,12,FL-12,0.0,0.0,0.0,0.0,0.0,144.06799999999996,0.0,,,4.970285410336397,2.158567527193337
